OLD_TICKER,NEW_TICKER,CHANGE_DATE
ISPATIND,JSWISPAT,16-Aug-11
AIONJSW,JSWISPL,12-Oct-20
JSWSTL,JSWSTEEL,16-Sep-05
JTLINFRA,JTLIND,21-Nov-22
BALASPONGE,JAIBALAJI,10-Aug-07
JPHYDRO,JPPOWER,08-Jan-10
NAGPURENG,JAYNECOIND,22-Feb-08
SAWPIPES,JINDALSAW,18-Feb-05
JSTAINLESS,JSL,23-Oct-08
HITACHIHOM,JCHAC,12-Sep-16
AMTREXAPPL,HITACHIHOM,04-Apr-06
SONASTEER,JTEKTINDIA,23-Apr-18
VAMORGANIC,JUBILANT,30-Sep-03
JUBILANT,JUBLPHARMA,12-Feb-21
CEBBCO,JWL,20-Jun-22
KARDA,KBCGLOBAL,16-Dec-21
KPIGLOBAL,KPIGREEN,27-Apr-22
KSERAPRO,KSERASERA,07-Mar-11
KALPATPOWR,KPIL,06-Jun-23
KALYANISTL,KALSTEELS,21-Oct-08
KIL,KAMDHENU,18-Mar-16
GOODLASNER,KANSAINER,26-Jul-06
KNL,KGL,20-Nov-08
WIDIA,KENNAMET,19-Aug-19
KESARENTER,KESARENT,02-Jan-07
KEYCORPSER,KEYFINSERV,03-May-19
KINHONDA,KINETICMOT,20-Sep-04
AIRDECCAN,KFA,06-Oct-08
KIRIDYES,KIRIINDUS,28-Mar-11
KIRELECTRI,KECL,09-Mar-10
SATNAMOVER,KOHINOOR,18-Aug-06
CAMLIN,KOKUYOCMLN,14-Feb-12
KOTAKMAH,KOTAKBANK,21-Apr-03
KTKNV20ETF,KOTAKNV20,21-Dec-15
KOTAKLIQ,LIQUID1,20-Mar-24
KOTAKALPHA,ALPHA,20-Mar-24
KOTAKMNC,MNC,20-Mar-24
KOTAKSILVE,SILVER1,16-Apr-24
KOTAKGOLD,GOLD1,16-Apr-24
KOTAKLOVOL,LOWVOL1,20-Mar-24
KOTAKNIFTY,NIFTY1,20-Mar-24
KOTAKBKETF,BANKNIFTY1,20-Mar-24
KOTAKIT,IT,20-Mar-24
KOTAKCONS,CONS,20-Mar-24
KOTAKMID50,MIDCAP,20-Mar-24
KOTAKPSUBK,PSUBANK,20-Mar-24
KSBPUMPS,KSB,23-Oct-18
EASTSUGIND,KUNDANMM,09-Oct-24
L&TFH,LTF,23-Apr-24
FIFMPS6FG,LTFMPS6FG,14-Jan-13
FIFMPS6EG,LTFMPS6EG,14-Jan-13
FIFMPS6ED,LTFMPS6ED,14-Jan-13
LLOYDELENG,LEEL,19-Jun-17
LICNFENGP,LICNETFN50,30-Dec-15
LICNMFET,LICNETFGSC,30-Dec-15
IDBIGOLD,LICMFGOLD,31-Jul-23
LICNFESGP,LICNETFSEN,30-Dec-15
LSIL,LLOYDSENGG,16-Oct-23
LAXMIMACH,LMW,10-Oct-24
DAAWAT,LTFOODS,06-Nov-23
LTI,LTIM,05-Dec-22
LINCPEN,LINC,20-Dec-21
IOL,BOC,10-Mar-05
BOC,LINDEINDIA,10-Apr-13
PARRYSCON,LOTTEINDIA,17-Dec-04
MAESGETF,ESG,01-Sep-23
MMFORGINGS,MMFL,20-Dec-06
MODISNME,MODISONLTD,16-Aug-22
MACMILLAN,MPSLTD,11-Sep-09
MANALU,MAANALU,16-Mar-11
COATVIYELA,MADURACOAT,29-Nov-02
MAHINDFORG,MAHINDCIE,17-Dec-13
GESCOCORP,MAHLIFE,23-Nov-07
MANALUMN,MANINDS,24-Jun-05
MARICOIND,MARICO,14-Jun-05
TASCPHARMA,MARKSANS,14-Nov-05
MAX,MFSL,26-Feb-16
MLL,MERCATOR,08-Dec-11
AHMEDFORGE,METALFORGE,01-Jun-15
GMRFER,CRONIMET,02-Jun-10
CRONIMET,METKORE,02-Apr-12
HINDINKS,MICRO,26-Mar-04
MANXT50,NEXT50,01-Sep-23
MAGOLDETF,GOLDETF,01-Sep-23
MANV30F,LOWVOL,01-Sep-23
MAN50ETF,NIFTYETF,01-Sep-23
MAGS813ETF,GSEC10YEAR,01-Sep-23
